port_name,median_duration_hr,vessel_count
PHMNL,168.66666666666666,4
VNHPH,118.83333333333333,9
RUNJK,115.66666666666667,4
CNHUA,88.66666666666667,7
CNNGB,82.5,11
HKHKG,73.16666666666666,10
CNSHA,70.0,72
TWKHH,69.16666666666667,5
CNDAG,65.33333333333334,4
CNTXG,57.833333333333336,8
RUVVO,52.333333333333336,21
CNNJI,51.5,4
JPYKK,51.33333333333333,4
JPTYO,50.166666666666664,15
CNRZH,49.5,4
JPKIJ,48.166666666666664,11
JPYOK,47.91666666666667,14
CNTAC,46.5,4
CNQDG,45.5,28
TWKEL,44.583333333333336,10
JPSMZ,43.5,14
CNLYG,43.0,13
KRPTK,38.33333333333333,10
JPNGO,36.166666666666664,5
KRINC,35.666666666666664,29
JPUKB,35.333333333333336,13
JPWAK,33.5,3
JPOSA,32.833333333333336,11
JPMKX,32.166666666666664,3
JPIMB,24.5,3
JPHIJ,22.583333333333336,8
JPNGS,14.166666666666666,3
JPMOJ,13.166666666666666,4
KRYOS,12.666666666666666,45
JPIMI,12.666666666666666,3
JPHKT,9.25,8
KRKAN,8.166666666666666,113
KRKPO,7.666666666666667,19
